comment_id,employee_id,comments,sentiment_score,sentiment_label,rephrased_comments,submission_date,category
C001,MY001,"Direction for 2025 is clear, but we need to push faster on automation at IPC.",0.65,Positive,"The strategic roadmap for 2025 is distinct, though we require faster implementation of automation at the IPC.",2025-11-15,Strategic Management
C002,MY002,"App baru looks modern, but backend integration ada sikit glitch. Team tengah fix.",0.55,Neutral,"The new application interface appears modern, though there are minor backend integration errors that the team is currently resolving.",2025-10-20,Technology & Systems
C003,MY003,"Recruitment for riders kena laju sikit, turnover tinggi sangat kat KL.",0.30,Negative,"We need to accelerate the rider recruitment process, as the turnover rate in Kuala Lumpur is exceedingly high.",2025-09-12,Human Resources
C004,MY004,"Vendor repair van selalu lambat. Operation terganggu sebab transport tak cukup.",0.20,Negative,"The van repair vendor is consistently late, disrupting operations due to a lack of available transport.",2025-11-01,Operations & Logistics
C005,MY005,"Selangor hub makin efficient lepas tukar layout. Good job team.",0.90,Positive,"Efficiency at the Selangor hub has improved significantly after the layout changes. Great work to the team.",2025-10-05,Operations & Logistics
C006,MY006,"System down time dah kurang, but network kat rural area masih slow gila.",0.45,Neutral,"While system downtime has decreased, network connectivity in rural areas remains extremely slow.",2025-11-22,Technology & Systems
C007,MY007,"Penang branch performance on track. Cuma aircond office panas, customer complain.",0.50,Neutral,"Penang branch performance is meeting targets, but customers are complaining about the hot office temperature due to the air conditioning.",2025-09-28,Facilities & Maintenance
C008,MY008,"Staff HQ semangat nak join corporate run. Good for bonding.",0.85,Positive,"HQ staff are enthusiastic about participating in the corporate run, which is excellent for team bonding.",2025-10-10,Workplace Culture
C009,MY009,"Claim process untuk medical lambat sangat approve. Kesian staff tunggu duit.",0.25,Negative,"The medical claim approval process is far too slow; it is unfair for staff to wait so long for reimbursement.",2025-11-05,Human Resources
C010,MY010,"Digital team need new laptops. Yang lama ni buka Excel pun hang.",0.20,Negative,"The digital team requires new laptops, as the current ones freeze even when opening basic applications like Excel.",2025-12-01,Technology & Systems
C011,MY011,"Johor PPL sesak teruk time Shopee sale. Tak cukup tangan nak sort.",0.35,Negative,"The Johor PPL becomes severely congested during Shopee sales, and we lack sufficient manpower to sort the parcels.",2025-11-12,Operations & Logistics
C012,MY012,"IT helpdesk very helpful. Cepat setel masalah printer.",0.88,Positive,"The IT helpdesk is very supportive and resolved the printer issue quickly.",2025-10-18,Technology & Systems
C013,MY013,"Procurement for uniform saiz besar selalu habis stock. Abang-abang besar susah hati.",0.40,Neutral,"Large-sized uniforms are frequently out of stock in procurement, causing distress for our larger-sized staff members.",2025-09-15,Resources & Equipment
C014,MY014,"Sabah team steady! Walaupun jalan off-road, parcel sampai jugak.",0.85,Positive,"The Sabah team is resilient! Even with off-road conditions, parcels are successfully delivered.",2025-11-20,Operations & Logistics
C015,MY015,"Promosi Merdeka sambutan hangat. Sales naik mendadak.",0.95,Positive,"The Merdeka promotion received a warm response, leading to a sharp increase in sales.",2025-09-02,Sales & Marketing
C016,MY016,"Benefit panel klinik tu bagus, banyak pilihan dekat rumah.",0.80,Positive,"The panel clinic benefit is excellent, providing many options convenient to my home.",2025-10-25,Human Resources
C017,MY017,"Sarawak pedalaman cost hantar tinggi, allowance kena review balik bos.",0.45,Neutral,"Delivery costs in rural Sarawak are high; management needs to review the allowance structure.",2025-11-30,Human Resources
C018,MY018,"Customer support system selalu lag bila check tracking number. Kena refresh banyak kali.",0.30,Negative,"The customer support system lags frequently when checking tracking numbers, requiring multiple refreshes.",2025-10-12,Technology & Systems
C019,MY019,"Claim OT bulan lepas masuk on-time. Masyuk sikit bulan ni.",0.90,Positive,"Last month's overtime claims were credited on time, providing a nice financial boost this month.",2025-11-26,Human Resources
C020,MY020,"Branch Kelantan bumbung bocor. Bila hujan, baldi sana sini. Malu kat customer.",0.15,Negative,"The Kelantan branch roof is leaking; we have to place buckets everywhere when it rains, which is embarrassing in front of customers.",2025-11-18,Facilities & Maintenance
C021,MY021,"Kerusi kaunter dah goyang. Bahaya kalau patah time duduk.",0.20,Negative,"The counter chair is wobbly and poses a safety risk if it breaks while someone is sitting.",2025-09-22,Health & Safety
C022,MY022,"Overtime budget untuk Penang kena tambah. Parcel makin banyak ni.",0.50,Neutral,"The overtime budget for Penang needs increasing as parcel volumes are growing.",2025-11-10,Human Resources
C023,MY023,"KL jem gila babi. Susah nak kejar KPI delivery time macam ni.",0.25,Negative,"Traffic in KL is terrible, making it very difficult to meet delivery time KPIs.",2025-10-30,Operations & Logistics
C024,MY024,"Wifi office tingkat 4 macam siput. Nak send email pun pusing-pusing.",0.20,Negative,"The Wi-Fi on the 4th floor is extremely slow; sending an email takes forever.",2025-11-14,Technology & Systems
C025,MY025,"Motor ex5 ni dah tua bos. Semput nak naik bukit bawak barang berat.",0.30,Negative,"This EX5 motorcycle is too old, boss. It struggles to climb hills when carrying heavy loads.",2025-10-08,Operations & Logistics
C026,MY026,"Musim hujan ni raincoat company bagi nipis sangat. Basah lencun seluar.",0.25,Negative,"The company-issued raincoats are too thin for this rainy season, leaving my trousers completely soaked.",2025-11-28,Resources & Equipment
C027,MY027,"JB route parcel Shopee/Lazada berlambak. Sorang rider bawak 100+ parcel, patah pinggang weh.",0.20,Negative,"The JB route is overloaded with Shopee/Lazada parcels. One rider carries over 100 items, which is physically exhausting.",2025-11-11,Operations & Logistics
C028,MY028,"Management turun padang tu bagus, baru nampak realiti operation.",0.80,Positive,"It is good that management is visiting the ground; they can finally see the reality of operations.",2025-10-15,Strategic Management
C029,MY029,"Mesin air pantry selalu rosak. Nak minum kopi pun susah.",0.30,Negative,"The pantry water dispenser is frequently broken, making it difficult to get coffee.",2025-09-18,Facilities & Maintenance
C030,MY030,"Van tayar botak. Bahaya bawak laju kat highway time hujan.",0.10,Negative,"The van tires are bald. It is dangerous to drive at highway speeds during the rain.",2025-11-25,Health & Safety
C031,MY031,"Kedah line clear. Customer sini baik-baik, siap bagi air.",0.90,Positive,"Operations in Kedah are smooth. The customers here are kind and even offer us drinks.",2025-10-22,Customer Service
C032,MY032,"Melaka branch bersih. Customer puji toilet kita wangi.",0.85,Positive,"The Melaka branch is clean, and customers have complimented the pleasant smell of our toilets.",2025-11-03,Facilities & Maintenance
C033,MY033,"Handheld scanner bateri kong cepat gila. Half day dah kena charge, macam mana nak kerja?",0.25,Negative,"The handheld scanner battery drains incredibly fast. It needs charging by midday, which hinders work.",2025-10-02,Resources & Equipment
C034,MY034,"Sort center KLIA tak cukup staff night shift. Barang bertimbun pending.",0.30,Negative,"The KLIA sort center lacks sufficient night shift staff, causing pending items to pile up.",2025-11-16,Human Resources
C035,MY035,"Penat weh kerja non-stop dari 7 pagi sampai 8 malam. Family pun tak jumpa.",0.15,Negative,"I am exhausted working non-stop from 7 AM to 8 PM; I hardly get to see my family.",2025-11-29,Human Resources
C036,MY036,"Pahang area Felda jalan teruk. Suspension van jahanam cepat.",0.25,Negative,"The roads in the Pahang Felda area are in bad condition, causing the van suspension to deteriorate quickly.",2025-10-14,Operations & Logistics
C037,MY037,"Team Terengganu memang brotherhood kuat. Kerja berat sama dipikul.",0.90,Positive,"The Terengganu team has strong camaraderie; we share the burden of heavy workloads together.",2025-11-08,Workplace Culture
C038,MY038,"Customer maki hamun sebab barang pecah. Padahal seller balut cincai. Kita yang kena.",0.30,Negative,"Customers scold us for broken items even though the seller packed them poorly. We unfairly take the blame.",2025-10-28,Customer Service
C039,MY039,"Bonus tahun ni harap lebat sikit. Barang dapur semua naik harga.",0.50,Neutral,"I hope this year's bonus is substantial, as the price of groceries has increased.",2025-12-02,Human Resources
C040,MY040,"System admin senang guna. Tak pening kepala.",0.85,Positive,"The admin system is user-friendly and straightforward to use.",2025-09-25,Technology & Systems
C041,MY041,"Best intern kat sini. Staff senior semua sporting ajar kerja.",0.90,Positive,"Interning here is great. The senior staff are all supportive and willing to teach.",2025-11-19,Human Resources
C042,MY042,"Mentor kat digital team power. Banyak belajar pasal cloud system.",0.90,Positive,"My mentor in the digital team is excellent; I have learned a lot about cloud systems.",2025-10-09,Human Resources
C043,MY043,"Bot laju kat Sarawak tu enjin selalu mati. Bahaya hanyut tengah sungai.",0.10,Negative,"The speedboat engine in Sarawak frequently stalls. Drifting in the middle of the river is dangerous.",2025-11-21,Health & Safety
C044,MY044,"Gaji cleaner review la sikit. Kesian makcik tu kerja keras.",0.40,Neutral,"Please review the cleaner's salary. She works very hard and deserves better pay.",2025-10-04,Human Resources
C045,MY045,"Warehouse PPL Shah Alam habuk tebal. Hidung tersumbat hari-hari. Mask mana?",0.20,Negative,"The dust in the Shah Alam PPL warehouse is thick, causing nasal congestion daily. Where are the masks?",2025-11-13,Health & Safety
C046,MY046,"N9 branch okay, cuma parking customer sempit sangat. Selalu bergaduh berebut petak.",0.45,Neutral,"The N9 branch is fine, but customer parking is too narrow, leading to frequent arguments over spaces.",2025-09-30,Facilities & Maintenance
C047,MY047,"Material baju uniform baru ni panas lit lit. Ketiak basah bro.",0.30,Negative,"The material of the new uniform is extremely hot, causing excessive sweating.",2025-10-17,Resources & Equipment
C048,MY048,"Lampu toilet rosak seminggu tak ganti. Gelap gelita.",0.25,Negative,"The toilet light has been broken for a week without replacement, leaving it in total darkness.",2025-11-23,Facilities & Maintenance
C049,MY049,"Safety vest wajib pakai tu bagus. Rasa selamat sikit atas jalan.",0.85,Positive,"Making the safety vest mandatory is a good move; I feel safer on the road.",2025-10-11,Health & Safety
C050,MY050,"Conveyor belt selalu jam. Kena tolak manual, sakit belakang.",0.25,Negative,"The conveyor belt jams frequently. Pushing it manually causes back pain.",2025-11-09,Operations & Logistics
C051,MY051,"Perlis relax je. Volume tak banyak sangat.",0.70,Positive,"Things are relaxed in Perlis. The parcel volume isn't too overwhelming.",2025-09-20,Operations & Logistics
C052,MY052,"Kerja data entry boring tapi aircond sejuk. Layan je lah.",0.60,Neutral,"Data entry work is boring, but the air conditioning is cold, so I just get on with it.",2025-10-27,Workplace Culture
